id;name;level;property_id;display_name
02261;Valdez-Cordova;county;;Valdez-Cordova County, AK
02270;Wade Hampton;county;;Wade Hampton County, AK
02275;Wrangell;county;;Wrangell County, AK
02290;Yukon-Koyukuk;county;;Yukon-Koyukuk County, AK
04003;Cochise;county;;Cochise County, AZ
04009;Graham;county;;Graham County, AZ
04012;La Paz;county;;La Paz County, AZ
04015;Mohave;county;;Mohave County, AZ
04023;Santa Cruz;county;;Santa Cruz County, AZ
05005;Baxter;county;;Baxter County, AR
05023;Cleburne;county;;Cleburne County, AR
05025;Cleveland;county;;Cleveland County, AR
05027;Columbia;county;;Columbia County, AR
05037;Cross;county;;Cross County, AR
05043;Drew;county;;Drew County, AR
05051;Garland;county;;Garland County, AR
05059;Hot Spring;county;;Hot Spring County, AR
05067;Jackson;county;;Jackson County, AR
05081;Little River;county;;Little River County, AR
05087;Madison;county;;Madison County, AR
05097;Montgomery;county;;Montgomery County, AR
05109;Pike;county;;Pike County, AR
05111;Poinsett;county;;Poinsett County, AR
05123;St. Francis;county;;St. Francis County, AR
05129;Searcy;county;;Searcy County, AR
05135;Sharp;county;;Sharp County, AR
05139;Union;county;;Union County, AR
08053;Hinsdale;county;;Hinsdale County, CO
08061;Kiowa;county;;Kiowa County, CO
08073;Lincoln;county;;Lincoln County, CO
08079;Mineral;county;;Mineral County, CO
08085;Montrose;county;;Montrose County, CO
08095;Phillips;county;;Phillips County, CO
08101;Pueblo;county;;Pueblo County, CO
08105;Rio Grande;county;;Rio Grande County, CO
08115;Sedgwick;county;;Sedgwick County, CO
08121;Washington;county;;Washington County, CO
09013;Tolland;county;;Tolland County, CT
09015;Windham;county;;Windham County, CT
12005;Bay;county;;Bay County, FL
12013;Calhoun;county;;Calhoun County, FL
12019;Clay;county;;Clay County, FL
12033;Escambia;county;;Escambia County, FL
12041;Gilchrist;county;;Gilchrist County, FL
12049;Hardee;county;;Hardee County, FL
12055;Highlands;county;;Highlands County, FL
12067;Lafayette;county;;Lafayette County, FL
12077;Liberty;county;;Liberty County, FL
12081;Manatee;county;;Manatee County, FL
12083;Marion;county;;Marion County, FL
12087;Monroe;county;;Monroe County, FL
12099;Palm Beach;county;;Palm Beach County, FL
12107;Putnam;county;;Putnam County, FL
12123;Taylor;county;;Taylor County, FL
12133;Washington;county;;Washington County, FL
13009;Baldwin;county;;Baldwin County, GA
13019;Berrien;county;;Berrien County, GA
13035;Butts;county;;Butts County, GA
13043;Candler;county;;Candler County, GA
13047;Catoosa;county;;Catoosa County, GA
13055;Chattooga;county;;Chattooga County, GA
13071;Colquitt;county;;Colquitt County, GA
13075;Cook;county;;Cook County, GA
13081;Crisp;county;;Crisp County, GA
13093;Dooly;county;;Dooly County, GA
13101;Echols;county;;Echols County, GA
13109;Evans;county;;Evans County, GA
13119;Franklin;county;;Franklin County, GA
05141;Van Buren;county;;Van Buren County, AR
05143;Washington;county;;Washington County, AR
05147;Woodruff;county;;Woodruff County, AR
06011;Colusa;county;;Colusa County, CA
06021;Glenn;county;;Glenn County, CA
06031;Kings;county;;Kings County, CA
06043;Mariposa;county;;Mariposa County, CA
06049;Modoc;county;;Modoc County, CA
06067;Sacramento;county;;Sacramento County, CA
06071;San Bernardino;county;;San Bernardino County, CA
06083;Santa Barbara;county;;Santa Barbara County, CA
06089;Shasta;county;;Shasta County, CA
06107;Tulare;county;;Tulare County, CA
08001;Adams;county;;Adams County, CO
08003;Alamosa;county;;Alamosa County, CO
08011;Bent;county;;Bent County, CO
08013;Boulder;county;;Boulder County, CO
08014;Broomfield;county;;Broomfield County, CO
08025;Crowley;county;;Crowley County, CO
08039;Elbert;county;;Elbert County, CO
08047;Gilpin;county;;Gilpin County, CO
01001;Autauga;county;;Autauga County, AL
01003;Baldwin;county;;Baldwin County, AL
01007;Bibb;county;;Bibb County, AL
01011;Bullock;county;;Bullock County, AL
01021;Chilton;county;;Chilton County, AL
