id,name,displayName,state,population,area,lat,long
02261,Valdez-Cordova,"Valdez-Cordova County, AK",02,9202,34239.88,-15.707827062813598,-10.343262810086836
02158,Kusilvak,"Kusilvak County, CA",02,8314,17081.433,-18.751015290079515,-10.077829051748006
02275,Wrangell,"Wrangell County, AK",02,2502,2541.483,-13.049034693764431,-11.52061015570261
02290,Yukon-Koyukuk,"Yukon-Koyukuk County, AK",02,5230,145504.789,-16.91015564069399,-9.023965976216312
04003,Cochise,"Cochise County, AZ",04,125922,6165.69,-11.11926701971863,-6.027626407790981
04009,Graham,"Graham County, AZ",04,38837,4622.597,-11.078448322483762,-4.96821233366399
04012,La Paz,"La Paz County, AZ",04,21108,4499.629,-14.295816233778918,-3.6148295435241677
04015,Mohave,"Mohave County, AZ",04,212181,13311.084,-13.748142973769712,-1.6994249996296689
04023,Santa Cruz,"Santa Cruz County, AZ",04,46498,1236.916,-12.089776672227405,-6.238214054736814
05005,Baxter,"Baxter County, AR",05,41932,554.283,3.3888184464497737,-2.3813833462134344
05023,Cleburne,"Cleburne County, AR",05,24919,553.692,3.667443944399337,-3.124736499846314
05025,Cleveland,"Cleveland County, AR",05,7956,597.783,3.605726900323176,-4.77842802229013
05027,Columbia,"Columbia County, AR",05,23457,766.053,2.7676939208867597,-5.493952563031434
05037,Cross,"Cross County, AR",05,16419,616.381,4.6914590554979485,-3.320420164649001
05043,Drew,"Drew County, AR",05,18219,828.356,4.003156653822133,-5.071469439551778
05051,Garland,"Garland County, AR",05,99386,677.781,2.7908483753715663,-4.124565649592225
05059,Hot Spring,"Hot Spring County, AR",05,33771,615.202,2.966281696408776,-4.379792274300599
05067,Jackson,"Jackson County, AR",05,16719,633.938,4.318413363832502,-3.034578148398466
05081,Little River,"Little River County, AR",05,12259,532.253,1.9227978306163704,-5.026039951997923
05087,Madison,"Madison County, AR",05,16576,834.255,2.2870410452809726,-2.6938554554102985
05097,Montgomery,"Montgomery County, AR",05,8986,779.88,2.3758982897197254,-4.1747641131750735
05109,Pike,"Pike County, AR",05,10718,600.618,2.3879528615247683,-4.551765179616166
05111,Poinsett,"Poinsett County, AR",05,23528,758.389,4.763559681041291,-3.0344447786994757
